"carat","cut","color","clarity","depth","table","price","x","y","z"
1.5,"Good","G","IF",59.9,59,13998,7.39,7.46,4.45
1.23,"Premium","F","VS1",61.3,60,9319,6.9,6.94,4.24
0.3,"Very Good","J","SI1",62.7,59,351,4.21,4.27,2.66
1.02,"Premium","H","VS2",61.8,58,5241,6.49,6.43,3.99
1.5,"Ideal","I","I1",61.3,57,5695,7.39,7.36,4.52
0.33,"Ideal","G","VVS2",61.7,55,752,4.42,4.46,2.74
0.93,"Fair","G","SI2",66.1,58.1,3172,6,6.04,3.98
0.3,"Ideal","H","SI1",61.3,59,425,4.29,4.33,2.64
1.51,"Very Good","E","SI2",61.2,58,9140,7.3,7.35,4.48
1.5,"Ideal","H","SI2",62.4,58,8471,7.29,7.26,4.54
1.01,"Ideal","G","VS2",61.9,58,6449,6.37,6.43,3.96
0.37,"Ideal","H","VS2",61.7,55,603,4.64,4.67,2.87
0.38,"Ideal","F","I1",62.5,57,638,4.64,4.61,2.89
1.14,"Premium","H","VS1",62,62,5809,6.74,6.65,4.15
1.02,"Very Good","D","VS2",63.7,55,6830,6.42,6.45,4.1
0.72,"Very Good","I","VVS2",61.7,55,2532,5.76,5.81,3.57
0.53,"Premium","H","SI1",59.4,60,1242,5.26,5.24,3.12
1.11,"Premium","D","I1",61.9,58,3655,6.66,6.63,4.11
1.11,"Premium","H","SI1",58.8,59,5439,6.79,6.74,3.98
1.52,"Ideal","J","VVS2",62.6,58,9541,7.32,7.34,4.59
1.11,"Ideal","G","SI1",62.6,57,5428,6.64,6.56,4.13
0.33,"Ideal","G","VS1",62.1,56,854,4.42,4.4,2.74
1.04,"Very Good","G","VS2",61.8,56,6177,6.47,6.5,4.01
1.01,"Very Good","I","SI1",60.3,57,3888,6.51,6.53,3.93
0.71,"Premium","E","VS2",59.9,58,2735,5.81,5.78,3.47
1.51,"Fair","G","VS2",56,65,8794,7.68,7.57,4.27
0.42,"Premium","D","SI1",61.5,58,970,4.83,4.8,2.96
0.77,"Fair","I","VS1",65.1,57,2184,5.65,5.77,3.72
0.31,"Ideal","G","VS2",62.2,53.6,557,4.32,4.35,2.7
1,"Premium","E","SI1",61.9,60,5544,6.46,6.37,3.97
1.71,"Very Good","D","SI2",63.5,59,11873,7.57,7.59,4.81
0.24,"Very Good","E","VVS2",60.8,58,552,3.99,4.03,2.44
0.74,"Ideal","E","SI2",60.9,57,2594,5.83,5.89,3.57
0.74,"Ideal","E","VS2",62.6,56,3036,5.73,5.81,3.61
0.25,"Very Good","G","VS2",63,54,407,4.04,4.06,2.55
0.4,"Good","D","SI2",63.1,56,622,4.65,4.67,2.94
0.31,"Ideal","F","IF",62.1,55,914,4.32,4.38,2.7
0.5,"Ideal","E","SI1",61.5,57,1700,5.08,5.1,3.13
0.51,"Good","E","SI1",57.4,62,1361,5.29,5.24,3.02
0.3,"Premium","J","VS1",62.6,58,506,4.32,4.27,2.69
0.9,"Fair","I","I1",67.2,60,1786,5.96,5.88,3.98
0.51,"Premium","E","SI2",60.3,56,1205,5.22,5.19,3.14
0.9,"Fair","D","SI1",64.8,59,3689,6.1,6.03,3.93
0.35,"Premium","E","VVS1",60.7,59,1116,4.58,4.55,2.77
0.53,"Ideal","E","VS2",61.4,56,1721,5.18,5.25,3.2
1.16,"Very Good","I","VS2",62.6,59,4869,6.63,6.69,4.17
0.9,"Very Good","H","VVS2",59.9,61,4637,6.29,6.19,3.74
0.36,"Good","D","VS2",63.4,54,739,4.51,4.57,2.88
0.4,"Ideal","F","SI1",62.9,57,945,4.7,4.68,2.95
1.53,"Premium","H","VS2",60.1,58,10889,7.57,7.6,4.71
0.9,"Very Good","D","SI2",61,61,3371,6.15,6.17,3.76
1.21,"Premium","D","VVS1",60.1,59,17192,6.96,6.88,4.16
1.31,"Ideal","G","VS1",62,53,10556,7.06,7.07,4.37
0.58,"Ideal","F","VS1",60.4,57,2245,5.42,5.37,3.26
1.03,"Very Good","G","I1",60.8,57,3018,6.51,6.55,3.97
0.5,"Very Good","H","VS1",61.6,57,1598,5.11,5.13,3.15
1.09,"Ideal","G","SI2",61.2,57,4586,6.63,6.68,4.07
0.39,"Ideal","F","VVS1",61.7,57,1148,4.68,4.71,2.89
0.9,"Premium","I","SI1",59.6,60,3276,6.37,6.24,3.76
1.11,"Ideal","H","SI1",60.2,54,5315,6.82,6.7,4.07
1.1,"Premium","H","SI2",59.2,59,3388,6.8,6.74,4.01
0.7,"Very Good","I","VS1",61.4,57,2405,5.71,5.74,3.52
0.4,"Ideal","E","VVS2",61.7,56,1158,4.73,4.77,2.93
0.52,"Ideal","E","VS2",61.5,56,1576,5.18,5.2,3.19
0.76,"Premium","E","VVS2",60.6,59,3767,5.94,5.85,3.57
0.4,"Very Good","E","VVS2",62.1,59,1189,4.67,4.7,2.91
0.52,"Very Good","E","SI1",63.3,57,1279,5.11,5.13,3.24
0.7,"Very Good","H","VS2",62.9,57,2498,5.6,5.66,3.54
1.01,"Premium","D","VS1",60,58,8286,6.6,6.54,3.94
0.51,"Very Good","D","VS1",58.8,60,1616,5.18,5.26,3.07
0.41,"Premium","G","VS2",59.2,58,1061,4.83,4.8,2.85
0.23,"Good","E","VS1",64.1,59,402,3.83,3.85,2.46
0.41,"Good","H","SI1",63.3,56,683,4.71,4.74,2.99
1.05,"Ideal","G","VS2",61.9,56,6486,6.52,6.56,4.05
0.31,"Ideal","F","VVS2",62.2,53,706,4.37,4.41,2.73
0.71,"Ideal","G","VS2",61.8,56,3299,5.68,5.72,3.52
0.31,"Premium","H","VS1",62.8,58,698,4.31,4.29,2.7
0.31,"Ideal","D","VS2",62.1,54,626,4.36,4.4,2.72
0.33,"Ideal","D","VS2",62.3,54,855,4.46,4.43,2.77
0.36,"Premium","D","VS2",60.5,58,1094,4.63,4.6,2.79
0.77,"Ideal","D","SI1",62.6,57,2898,5.92,5.81,3.67
0.7,"Ideal","F","VS2",62,57,2535,5.71,5.67,3.53
0.4,"Ideal","G","VVS1",61.7,57,967,4.75,4.78,2.94
1.51,"Ideal","H","VS2",62.5,56,11133,7.37,7.33,4.57
0.64,"Very Good","D","SI2",62.8,54,1629,5.5,5.52,3.46
1.21,"Ideal","I","VVS2",62.2,55,7134,6.79,6.83,4.23
0.5,"Fair","E","VS2",65.4,57,1397,5.01,4.81,3.21
1,"Ideal","E","SI1",61.4,57,5555,6.43,6.5,3.97
0.93,"Ideal","G","SI1",62,56,4546,6.22,6.26,3.87
0.9,"Good","G","SI2",63.8,56,3246,6.16,6.13,3.92
0.41,"Very Good","D","VVS1",62.7,56,1349,4.74,4.77,2.98
0.3,"Very Good","E","VS2",61.7,61,658,4.28,4.31,2.65
1.12,"Ideal","F","SI2",61.6,57,4720,6.68,6.66,4.11
0.37,"Ideal","E","VS2",62.7,56,1041,4.6,4.55,2.87
0.7,"Ideal","I","SI1",61.6,56,2623,5.69,5.71,3.51
0.72,"Ideal","F","SI1",61.7,59,2706,5.75,5.79,3.56
0.4,"Very Good","G","VVS2",59.2,63,945,4.88,4.81,2.87
1.6,"Very Good","E","SI2",62,57,9900,7.47,7.54,4.65
0.32,"Ideal","D","SI1",61.5,56,715,4.41,4.44,2.72
0.34,"Ideal","H","VS2",62.6,54,689,4.5,4.45,2.8
0.31,"Premium","G","VVS1",62.2,59,1046,4.32,4.3,2.68
2.03,"Ideal","H","SI1",62.9,57,16900,8.07,7.99,5.05
0.41,"Ideal","H","VS1",61.8,56,1061,4.81,4.77,2.96
1.51,"Ideal","H","VS2",62.2,57,11435,7.29,7.33,4.55
1.23,"Ideal","F","VS2",61.7,57,9547,6.94,6.9,4.27
0.3,"Ideal","E","SI1",61.7,58,499,4.29,4.3,2.65
0.51,"Ideal","G","VS1",61.8,57,1662,5.14,5.12,3.17
0.32,"Ideal","H","SI1",61,56.6,471,4.4,4.43,2.7
0.9,"Good","G","VS2",62.1,59,4054,6.02,6.16,3.78
1.5,"Very Good","F","VS2",62.6,59,12870,7.22,7.31,4.55
0.32,"Premium","G","VS2",60.1,61,672,4.44,4.41,2.66
1.53,"Ideal","E","SI1",62,58,10836,7.33,7.41,4.57
0.83,"Ideal","F","SI2",59.5,57,2386,6.13,6.1,3.64
0.41,"Ideal","E","SI1",62.1,54,969,4.81,4.76,2.97
0.57,"Very Good","D","SI2",62.1,58,1387,5.26,5.31,3.28
0.41,"Premium","E","SI1",62.4,58,755,4.75,4.77,2.97
0.55,"Premium","F","SI2",60.6,58,1263,5.31,5.28,3.21
0.91,"Premium","E","VS1",61.9,59,5167,6.23,6.17,3.84
1.26,"Premium","H","SI2",62,56,4586,6.92,6.88,4.28
0.75,"Very Good","J","SI1",61.7,56,1859,5.81,5.92,3.62
0.77,"Ideal","J","VS2",61.4,55,2159,5.9,5.95,3.64
1.04,"Ideal","H","SI2",61.1,56,4368,6.66,6.6,4.05
0.92,"Premium","I","SI1",58.8,59,3545,6.36,6.33,3.73
1.57,"Very Good","H","SI1",62,60,10200,7.4,7.44,4.6
0.29,"Very Good","F","VVS1",62.1,55,731,4.26,4.28,2.65
2,"Good","F","SI1",62.8,62,18069,8,8.03,5.03
0.32,"Ideal","D","VS2",62.2,56,972,4.4,4.38,2.73
1.51,"Ideal","F","SI1",61.7,56,13334,7.35,7.41,4.55
0.5,"Ideal","E","SI2",60.7,56,1359,5.16,5.19,3.14
1.01,"Very Good","E","SI1",61.5,60,5372,6.39,6.42,3.94
0.7,"Good","F","VS1",57.8,61,2751,5.83,5.79,3.36
0.52,"Ideal","E","VS1",62,53,1893,5.16,5.2,3.21
1.11,"Premium","G","VS2",59,59,6713,6.79,6.76,4
1.14,"Premium","E","VVS2",59.7,58,10446,6.91,6.83,4.1
0.72,"Premium","E","SI2",62.9,58,2376,5.74,5.68,3.59
0.42,"Premium","D","SI1",62.1,59,1040,4.79,4.77,2.97
0.39,"Ideal","H","VS2",60.6,55,983,4.81,4.76,2.9
0.37,"Ideal","D","VS2",62.3,55,763,4.59,4.62,2.87
1.05,"Ideal","F","VS1",60.4,56,7373,6.61,6.63,4
0.3,"Very Good","E","VS1",63.6,54,620,4.28,4.33,2.74
1.14,"Premium","D","SI2",60.3,58,4972,6.79,6.71,4.07
0.62,"Ideal","D","VS2",61.2,56,2243,5.49,5.52,3.37
0.36,"Very Good","G","VVS2",61.9,58,821,4.54,4.6,2.83
0.54,"Ideal","E","VS1",62,56,2041,5.25,5.17,3.23
2.52,"Fair","J","SI2",65.1,56,15776,8.51,8.43,5.51
0.92,"Good","I","SI1",63.3,58,3382,6.14,6.18,3.9
1.2,"Premium","J","SI1",58.5,61,4778,6.95,6.89,4.05
1.01,"Premium","E","VS2",62.7,57,6787,6.36,6.31,3.97
0.5,"Premium","G","VS1",61,59,1746,5.14,5.09,3.12
0.3,"Good","D","SI2",60.8,65,536,4.29,4.26,2.6
0.54,"Ideal","G","VVS2",61.2,56,1914,5.25,5.28,3.22
0.38,"Ideal","F","VS2",61.3,57,822,4.65,4.68,2.86
0.92,"Premium","G","VS2",61.6,62,4287,6.3,6.24,3.86
1.1,"Very Good","E","SI2",63,56,5073,6.59,6.55,4.14
0.33,"Very Good","I","VS1",63.2,57,668,4.4,4.37,2.77
1.71,"Ideal","I","SI2",62.1,58,10096,7.64,7.56,4.72
0.41,"Premium","I","VVS2",62.1,58,827,4.76,4.78,2.96
0.38,"Premium","D","SI1",60.7,60,941,4.69,4.63,2.83
0.55,"Very Good","G","VS1",59.4,62,1667,5.32,5.36,3.17
0.35,"Ideal","H","VVS1",62,53.9,743,4.5,4.53,2.8
1.02,"Premium","D","VS1",61.3,58,8181,6.52,6.47,3.98
0.3,"Very Good","H","VS1",63,59,526,4.21,4.27,2.67
1.54,"Ideal","I","VS1",61.5,56,11651,7.42,7.47,4.58
1.58,"Ideal","F","SI1",60.3,56,12621,7.56,7.62,4.58
0.72,"Very Good","E","SI2",60.1,55.8,2651,5.83,5.85,3.51
0.3,"Premium","D","VS2",61.9,58,911,4.32,4.28,2.66
2.01,"Premium","I","VS2",61.6,61,16149,8.08,7.97,4.94
0.78,"Premium","D","VS2",63,58,3473,5.86,5.8,3.67
0.7,"Ideal","I","SI1",59.9,59,2083,5.75,5.8,3.46
1.04,"Very Good","D","VS2",63.1,54,7679,6.44,6.53,4.09
0.72,"Ideal","F","VS1",61,55,3759,5.77,5.81,3.53
0.25,"Very Good","E","VVS2",61.7,57,548,4.08,4.12,2.53
1.08,"Premium","G","SI2",62.3,56,4627,6.6,6.52,4.09
0.55,"Good","J","VS2",64.1,54,1034,5.18,5.21,3.33
0.67,"Premium","G","VVS2",60.1,60,2658,5.66,5.58,3.38
0.32,"Premium","G","VS2",61.7,60,561,4.32,4.4,2.69
0.31,"Good","E","VS2",59.1,56,651,4.41,4.46,2.62
0.4,"Good","F","SI1",63.1,58,687,4.66,4.69,2.95
0.29,"Very Good","G","VVS2",61.9,56,541,4.27,4.3,2.65
0.6,"Ideal","D","SI1",61.4,55,1698,5.43,5.45,3.34
0.41,"Very Good","G","SI1",62.9,56,719,4.7,4.75,2.97
0.3,"Ideal","E","VS2",62.3,56,844,4.34,4.3,2.69
0.3,"Ideal","F","VS2",61.8,57,605,4.31,4.33,2.67
2.04,"Premium","J","VS2",61.4,59,13600,8.14,8.04,4.97
0.3,"Ideal","E","VS1",61.3,58,694,4.29,4.32,2.64
0.31,"Ideal","D","IF",60.5,57,1917,4.39,4.41,2.66
1.15,"Ideal","H","SI2",62,56,4870,6.68,6.75,4.16
2.5,"Fair","H","SI2",64.9,58,13278,8.46,8.43,5.48
0.51,"Ideal","G","VVS2",61.2,56,2303,5.16,5.17,3.16
0.3,"Ideal","G","VS1",62,54,776,4.35,4.3,2.68
2.05,"Premium","H","VS2",60.7,61,16235,8.25,8.13,4.97
0.42,"Ideal","E","SI1",62.6,57,773,4.81,4.84,3.02
0.41,"Ideal","F","SI1",60.5,56,909,4.81,4.84,2.92
0.3,"Very Good","G","VVS2",63.1,56,878,4.23,4.2,2.66
0.31,"Premium","E","VS1",61.9,58,942,4.32,4.31,2.67
0.81,"Very Good","G","SI2",63.4,58,2545,5.87,5.92,3.74
1.2,"Very Good","J","VS2",62.5,57,4590,6.72,6.79,4.22
1.22,"Premium","G","SI2",61.9,58,5739,6.88,6.79,4.23
0.7,"Very Good","G","VS2",62.5,54,2562,5.63,5.69,3.54
0.41,"Ideal","J","VS1",62.8,56,707,4.73,4.79,2.99
1.06,"Fair","G","SI2",65.3,62,3633,6.33,6.25,4.11
0.34,"Premium","F","VS2",59.2,60,686,4.56,4.6,2.71
1.21,"Premium","J","VVS2",60.8,60,5674,6.88,6.86,4.18
0.38,"Ideal","F","IF",62.2,54,1212,4.64,4.69,2.9
0.68,"Premium","D","SI1",59.8,59,1909,5.72,5.66,3.4
1,"Fair","G","VVS2",65.5,54,4928,6.3,6.22,4.1
1.43,"Premium","G","VS2",62.2,58,10609,7.18,7.15,4.46
0.53,"Good","H","SI1",63.7,55,1242,5.15,5.12,3.27
0.71,"Ideal","E","VS1",62.1,53,2963,5.76,5.73,3.57
1.03,"Ideal","F","IF",62.3,57,13060,6.44,6.49,4.03
1.25,"Premium","H","VS2",60.4,59,7246,6.92,6.96,4.19
2.51,"Premium","J","VS2",62.2,58,18020,8.73,8.67,5.41
0.51,"Very Good","F","VS1",62.5,54,1751,5.13,5.15,3.21
1.11,"Very Good","G","VS2",62.2,55,6593,6.61,6.67,4.13
1.01,"Premium","F","SI2",61.8,59,4008,6.41,6.31,3.93
0.63,"Ideal","E","VVS1",61.1,58,3181,5.49,5.54,3.37
0.34,"Ideal","D","VVS1",62.4,55,1211,4.49,4.45,2.79
0.32,"Ideal","D","SI1",61.3,55,756,4.42,4.39,2.7
0.71,"Ideal","H","SI2",62.2,55,2360,5.72,5.7,3.55
0.36,"Ideal","D","VS2",61,56,1094,4.63,4.59,2.81
1.56,"Ideal","I","VVS2",62,56,10481,7.39,7.42,4.6
1,"Good","I","SI1",57.6,61,3640,6.56,6.52,3.77
0.31,"Ideal","F","VVS1",61.6,56,903,4.34,4.36,2.68
0.73,"Premium","F","SI1",58.7,59,2644,5.97,5.92,3.49
0.7,"Premium","G","SI2",61.8,61,2056,5.66,5.63,3.49
1.51,"Premium","F","VS2",61.8,56,12899,7.46,7.32,4.57
0.61,"Ideal","F","VVS2",61.1,57,3248,5.47,5.49,3.34
0.34,"Ideal","D","VS2",62,55,1033,4.48,4.45,2.77
0.51,"Very Good","E","SI1",60.8,57,1438,5.19,5.24,3.17
1.01,"Good","G","SI2",63.4,57,3852,6.32,6.37,4.02
0.9,"Premium","E","SI1",62.7,60,4443,6.13,6.03,3.81
0.72,"Very Good","E","VS1",63.1,56,3048,5.7,5.65,3.58
1.5,"Good","F","VS2",63.6,55,13853,7.27,7.22,4.61
1,"Very Good","G","VS2",63.8,58,6389,6.31,6.35,4.04
1,"Ideal","H","SI2",62,56,4649,6.38,6.43,3.97
1.41,"Premium","I","SI2",62.9,59,6751,7.14,7.08,4.47
0.32,"Very Good","H","SI2",60.4,59,393,4.39,4.42,2.66
0.43,"Ideal","I","VVS2",60.9,57,929,4.85,4.9,2.97
1.01,"Very Good","I","SI1",62,54,3888,6.36,6.51,3.99
2.04,"Premium","G","SI2",61.8,56,16426,8.13,8.05,5
0.74,"Ideal","F","VS2",62.1,56,3171,5.79,5.83,3.61
1.11,"Good","F","SI1",63.1,56,5769,6.59,6.63,4.17
0.23,"Very Good","H","VVS2",59.2,61,389,4,4.04,2.38
0.51,"Premium","D","VS2",60.1,59,1977,5.19,5.16,3.11
0.3,"Ideal","G","VS2",62.3,56,675,4.3,4.27,2.67
0.73,"Ideal","D","VVS2",62.2,56,4252,5.79,5.73,3.58
1.27,"Premium","F","VS1",60.3,58,10028,7.06,7.04,4.25
0.31,"Ideal","F","SI1",62.3,56,707,4.38,4.35,2.72
0.31,"Very Good","H","VVS1",61.3,56,651,4.35,4.38,2.67
0.7,"Ideal","I","VVS1",61.4,55,2489,5.7,5.76,3.52
