"carat","cut","color","clarity","depth","table","price","x","y","z"
0.72,"Ideal","I","VVS2",61.3,56,2591,5.77,5.8,3.55
0.46,"Very Good","D","VS2",60.9,58,1326,4.94,4.97,3.02
0.5,"Good","G","VVS2",61.2,63.3,1690,5.06,5.08,3.1
1.27,"Ideal","H","SI1",61.5,55,6472,6.97,6.95,4.28
2.02,"Very Good","H","SI2",62.7,59,15666,8.04,7.98,5.02
0.33,"Ideal","G","SI1",61.3,56,492,4.46,4.51,2.75
0.4,"Ideal","D","VVS2",62.2,55,1263,4.72,4.74,2.94
0.41,"Ideal","F","VS1",62.5,57,1076,4.76,4.75,2.97
0.58,"Ideal","F","VS1",61.4,56,1953,5.38,5.4,3.31
1.17,"Ideal","I","SI2",62.2,56,4488,6.72,6.79,4.2
0.42,"Premium","E","SI1",61.6,59,992,4.85,4.83,2.98
2.02,"Premium","I","SI2",61.4,57,13642,8.18,8.08,4.99
0.53,"Ideal","H","VS2",62.5,56,1412,5.19,5.15,3.23
0.32,"Ideal","I","VS1",62,54,523,4.37,4.41,2.72
0.74,"Good","D","SI1",63.1,59,2753,5.71,5.74,3.61
0.6,"Good","F","VS2",58.8,60.7,1940,5.52,5.55,3.25
0.31,"Good","E","SI1",63.4,55,544,4.31,4.33,2.74
1.51,"Premium","G","VVS1",62.2,58,15420,7.33,7.3,4.55
0.31,"Ideal","E","VS2",61.9,55,680,4.34,4.39,2.7
2.01,"Very Good","I","SI2",59.5,58,13669,8.18,8.21,4.88
0.32,"Ideal","F","IF",61.8,56,1204,4.4,4.44,2.73
1.01,"Ideal","H","SI1",61.4,60,4680,6.48,6.45,3.97
0.32,"Ideal","D","VS2",62.2,56,972,4.4,4.38,2.73
1.01,"Ideal","G","SI1",61.4,55,4653,6.46,6.5,3.98
1.07,"Premium","G","SI1",60.5,62,4949,6.69,6.6,4.02
0.56,"Ideal","G","VVS2",61.4,54,2004,5.33,5.35,3.28
0.32,"Ideal","E","VVS1",60.5,57,917,4.44,4.48,2.7
1,"Premium","F","SI1",59.8,59,5151,6.55,6.49,3.9
1.52,"Very Good","J","VS2",63.5,58,7504,7.28,7.24,4.61
0.41,"Ideal","F","VS2",61.8,56,1107,4.79,4.76,2.95
0.55,"Ideal","G","VS1",62.2,54,2132,5.27,5.24,3.27
0.75,"Ideal","E","SI1",62.1,55,3170,5.81,5.85,3.62
0.72,"Ideal","F","VS1",61.7,57,2829,5.77,5.74,3.55
0.4,"Premium","F","VS2",62.6,58,842,4.68,4.72,2.94
1,"Premium","H","VVS2",61.4,59,5914,6.49,6.45,3.97
0.32,"Very Good","G","VVS2",62.3,54,730,4.38,4.45,2.75
0.5,"Good","E","VS1",60.3,62,1690,5.1,5.11,3.08
1.11,"Fair","H","SI1",65.7,61,5178,6.42,6.39,4.21
0.34,"Ideal","D","VS2",62.5,57,1033,4.47,4.4,2.77
0.45,"Premium","E","VS1",60.8,60,1282,4.94,4.9,2.99
0.38,"Very Good","F","SI1",61.7,58,672,4.66,4.73,2.89
0.7,"Ideal","E","VVS2",62.4,54,3585,5.66,5.71,3.55
1.01,"Very Good","G","VVS2",63,61,7528,6.34,6.36,4
1.23,"Ideal","J","VS2",61.7,57,5763,6.87,6.8,4.22
2.02,"Premium","G","SI2",61,58,15498,8.15,8.22,4.99
0.31,"Ideal","F","VS2",60.8,56,802,4.41,4.38,2.67
1,"Good","G","VVS2",60.9,56,7492,6.49,6.52,3.96
0.4,"Ideal","I","SI2",61,58,484,4.74,4.77,2.9
1.22,"Premium","E","SI2",61.5,58,6012,6.84,6.86,4.21
0.7,"Fair","J","I1",64.7,59,1066,5.59,5.5,3.59
1.2,"Ideal","D","VVS2",62.7,54,14033,6.8,6.82,4.27
0.76,"Ideal","E","SI2",62.1,56,2978,5.85,5.88,3.64
0.7,"Very Good","F","VS2",62.4,57,2956,5.67,5.71,3.55
0.7,"Premium","J","VS2",62,62,1775,5.63,5.59,3.48
0.3,"Premium","H","SI1",62.9,58,554,4.28,4.24,2.68
1.51,"Very Good","D","VS2",63.1,62,14205,7.24,7.22,4.56
0.31,"Ideal","E","VVS1",61.3,56,1105,4.38,4.4,2.69
0.58,"Ideal","E","VS2",61.6,55,1884,5.33,5.38,3.3
0.96,"Premium","J","SI1",62.9,59,3187,6.3,6.22,3.94
0.8,"Ideal","F","VS2",61.2,58,3713,5.99,6.03,3.68
0.35,"Ideal","F","IF",60.9,55,1312,4.58,4.61,2.8
1.12,"Premium","G","SI1",59.5,62,5181,6.81,6.76,4.04
0.42,"Ideal","I","VVS1",62,55,945,4.88,4.8,3
1.06,"Premium","G","SI1",62.2,57,5113,6.53,6.47,4.04
2.25,"Premium","I","SI1",61.3,58,15397,8.52,8.42,0
0.97,"Ideal","F","SI1",61.7,56,3884,6.37,6.32,3.92
1.62,"Ideal","I","VS2",62.4,57,9604,7.45,7.51,4.67
0.4,"Ideal","F","VS2",62.3,54,767,4.74,4.77,2.96
1.53,"Premium","H","VVS2",60.4,60,12092,7.46,7.41,4.49
2.23,"Very Good","J","VS2",61,58,14732,8.36,8.39,5.11
0.5,"Very Good","F","VS2",59.4,59,1436,5.19,5.22,3.09
0.31,"Very Good","G","SI1",62.4,55,462,4.31,4.34,2.7
1.51,"Ideal","H","SI1",61.7,56,7780,7.25,7.18,4.45
0.78,"Ideal","J","VS2",62.3,55,2456,5.88,5.91,3.67
0.41,"Ideal","J","SI2",62.5,54,731,4.78,4.79,2.99
0.36,"Very Good","G","VVS1",62.8,57,821,4.52,4.55,2.85
1.53,"Ideal","F","SI1",60.3,57,11713,7.45,7.52,4.51
1.04,"Ideal","H","SI2",61.1,56,4290,6.6,6.66,4.05
1.24,"Ideal","I","SI2",62.5,57,3312,6.89,6.84,4.29
1.22,"Premium","H","SI2",61.3,60,4509,6.87,6.81,4.19
0.35,"Ideal","H","IF",60.5,56,984,4.59,4.56,2.77
0.29,"Very Good","H","VVS2",61.2,56,541,4.26,4.29,2.61
0.3,"Very Good","G","VVS2",63,57,684,4.28,4.32,2.71
1.58,"Very Good","H","VVS2",60.9,58,12459,7.56,7.65,4.63
2,"Very Good","J","VS2",60.8,62,13043,8.09,8.12,4.93
1.1,"Premium","H","SI2",59.5,57,4004,6.81,6.74,4.03
1.5,"Premium","I","VVS1",62.4,60,10956,7.29,7.32,4.56
1.31,"Premium","G","VS2",60.3,58,9296,7.13,7.1,4.29
0.46,"Ideal","D","VS1",62.6,56,1637,4.92,4.95,3.09
0.34,"Good","H","VS1",63.1,57,596,4.4,4.44,2.79
1.01,"Good","G","VS1",63.2,61,6412,6.33,6.35,4.01
0.71,"Very Good","F","SI1",63,55,2416,5.65,5.71,3.58
0.54,"Ideal","H","SI1",62.2,56,1240,5.26,5.19,3.25
0.72,"Premium","D","VS2",61.1,60,2721,5.74,5.69,3.49
1.27,"Ideal","G","VS1",59.6,57,9431,7.09,7.06,4.22
1.01,"Very Good","D","SI1",61.5,61,5542,6.37,6.47,3.95
0.31,"Ideal","H","VS1",62.2,57,544,4.34,4.37,2.71
1.01,"Very Good","I","SI1",63.1,58,3563,6.38,6.33,4.01
1.5,"Very Good","F","IF",63.2,58,18552,7.2,7.32,4.59
0.28,"Ideal","H","VS2",62.5,54,467,4.2,4.22,2.63
1,"Good","H","SI1",63.4,56,4389,6.34,6.37,4.03
0.7,"Ideal","G","VS1",61.5,56,3065,5.7,5.75,3.52
1.72,"Good","F","SI1",64.3,60,13499,7.52,7.56,4.85
1.06,"Ideal","H","VS2",62.3,53,6619,6.58,6.56,4.09
0.31,"Ideal","E","VVS2",62.5,54,755,4.34,4.37,2.72
1.2,"Ideal","G","VS2",61.9,56,7548,6.86,6.81,4.23
1.7,"Premium","G","SI2",61.9,58,10472,7.61,7.57,4.7
0.9,"Premium","D","SI2",59,61,3205,6.32,6.28,3.72
0.32,"Ideal","D","VVS1",61,57,1064,4.45,4.43,2.71
0.38,"Ideal","H","VVS2",62.3,53.3,832,4.65,4.69,2.91
1.57,"Ideal","H","VS2",61.8,55,12004,7.45,7.49,4.62
0.9,"Premium","E","SI2",62.2,60,3599,6.19,6.15,3.84
1.2,"Ideal","I","VS2",62.6,57,4844,6.74,6.67,4.2
0.71,"Ideal","E","SI1",59.9,56,2704,5.86,5.8,3.49
1.51,"Premium","E","SI1",63,58,8836,7.4,7.27,4.62
1.63,"Very Good","F","SI1",59.7,62,12282,7.65,7.73,4.59
1.01,"Ideal","J","VS2",61.1,56,4617,6.49,6.51,3.97
1.21,"Premium","J","VVS2",60.8,60,5674,6.88,6.86,4.18
0.71,"Very Good","F","VS1",62.9,55,3175,5.68,5.71,3.58
0.53,"Ideal","G","SI2",62.4,56,1093,5.18,5.14,3.22
0.47,"Premium","G","SI1",62.7,58,931,4.97,4.99,3.12
1.21,"Ideal","H","VS1",62.4,53,7811,6.83,6.86,4.27
1.04,"Premium","J","SI1",60.2,56,4036,6.61,6.54,3.96
0.38,"Good","D","VS1",63.4,55,853,4.61,4.64,2.93
1.03,"Ideal","E","VS1",61.9,57,8629,6.46,6.44,4
0.32,"Very Good","F","VS2",59.7,62,602,4.38,4.43,2.63
0.5,"Premium","D","SI1",60.7,59,1235,5.11,5.04,3.08
0.31,"Very Good","H","VS1",62.9,58,544,4.31,4.34,2.72
0.53,"Very Good","I","SI1",59.7,63,923,5.22,5.3,3.14
0.58,"Ideal","E","VS1",61.8,57,2046,5.33,5.35,3.3
1.09,"Premium","H","SI2",62.1,55,4578,6.63,6.58,4.1
0.3,"Ideal","E","VS2",62.4,57,844,4.29,4.24,2.66
1.51,"Very Good","I","VS1",60.5,60,9704,7.42,7.46,4.5
0.72,"Very Good","H","SI1",63.7,57,2168,5.66,5.7,3.62
1.7,"Premium","I","VS2",61.7,59,11360,7.68,7.63,4.72
0.81,"Ideal","E","SI2",63,56,2901,5.95,5.9,3.73
1.2,"Ideal","G","SI1",62.7,56,7372,6.78,6.83,4.27
0.41,"Ideal","H","SI1",61.3,55,1056,4.81,4.85,2.96
0.72,"Very Good","H","VS1",60.1,57,2594,5.79,5.85,3.5
1.12,"Ideal","F","VVS2",61.4,57,9634,6.69,6.66,4.1
0.33,"Premium","F","VS2",62.4,58,854,4.41,4.37,2.74
0.96,"Very Good","I","VS2",59.6,59,4187,6.36,6.42,3.81
0.56,"Very Good","H","VS2",61.8,54.1,1576,5.31,5.34,3.29
0.42,"Ideal","H","VS1",61.4,56,847,4.82,4.85,2.97
2.01,"Fair","G","SI2",63.8,59,14799,7.77,7.87,4.99
0.35,"Ideal","D","SI1",62.3,57,644,4.5,4.52,2.81
1.02,"Premium","D","SI2",62.1,57,4381,6.41,6.37,3.97
0.33,"Premium","G","VS1",61.6,58,854,4.44,4.39,2.72
0.7,"Ideal","G","VS1",60.6,57,2535,5.75,5.7,3.47
1.29,"Premium","G","SI2",62,58,5996,7.03,6.97,4.34
1.5,"Premium","H","I1",61.1,59,3599,7.37,7.26,4.47
1.01,"Premium","H","VS1",61.6,57,5147,6.47,6.38,3.96
0.5,"Fair","G","VS1",64.9,57,1271,4.98,4.94,3.22
0.36,"Ideal","E","VS1",62.7,57,727,4.55,4.58,2.86
0.51,"Ideal","G","VS1",62.1,55,1656,5.14,5.17,3.2
0.7,"Good","D","SI2",63.6,62,2247,5.61,5.55,3.55
0.54,"Very Good","D","SI1",62.9,57,1662,5.17,5.22,3.27
0.43,"Ideal","H","VVS1",62.3,54,1094,4.84,4.85,3.02
0.53,"Ideal","E","VS2",62.1,56,1721,5.17,5.2,3.22
1.22,"Ideal","G","VVS2",62.3,56,10221,6.84,6.81,4.25
0.9,"Very Good","D","SI2",61,59,3806,6.14,6.18,3.76
0.52,"Ideal","E","VVS1",61.8,55,3125,5.2,5.19,3.21
1.4,"Ideal","H","SI2",61.2,56,7213,7.23,7.18,4.41
0.59,"Ideal","E","SI1",62.2,57,1630,5.34,5.37,3.33
0.39,"Very Good","E","VS2",62.7,59,794,4.64,4.68,2.92
0.31,"Ideal","G","SI2",62.2,54,436,4.36,4.39,2.72
0.3,"Ideal","H","IF",61.2,56,764,4.36,4.37,2.67
1.12,"Ideal","G","VVS2",61.9,57,9214,6.62,6.66,4.11
0.34,"Ideal","E","VVS2",60.9,56,838,4.52,4.54,2.76
0.5,"Fair","E","SI1",66.5,58,1098,4.87,4.9,3.25
0.35,"Very Good","G","IF",62.2,58,1044,4.45,4.52,2.79
1,"Good","G","VS2",63.7,59,5484,6.38,6.33,4.05
0.3,"Ideal","E","VS2",62.3,56,844,4.32,4.28,2.68
1.02,"Very Good","G","VS1",63.3,58,6861,6.42,6.38,4.05
0.24,"Very Good","D","VVS2",59.5,62,521,4.04,4.06,2.41
0.23,"Very Good","E","VVS2",62.7,59,465,3.93,3.95,2.47
0.51,"Good","F","SI1",64.2,59,1406,5.04,5.02,3.23
0.39,"Very Good","G","SI1",61.7,57,684,4.77,4.7,2.92
0.32,"Ideal","E","IF",61.9,56,1095,4.4,4.42,2.73
0.3,"Ideal","H","VS1",61.6,57,526,4.3,4.33,2.66
0.31,"Ideal","H","VVS1",62.2,54,687,4.34,4.37,2.71
2,"Fair","I","SI2",66.8,55,8037,7.75,7.71,5.16
1.04,"Premium","G","SI2",62.9,58,4277,6.47,6.43,4.06
0.36,"Premium","D","VS2",61,58,1094,4.62,4.59,2.81
0.34,"Ideal","D","VS2",62,55,1033,4.49,4.45,2.77
1.02,"Premium","D","SI2",62.3,58,4044,6.42,6.37,3.99
0.73,"Ideal","D","VS2",61.5,57,3346,5.81,5.83,3.58
0.57,"Ideal","E","VS1",61.8,55,2192,5.34,5.39,3.32
0.44,"Ideal","D","VS1",62.3,55,1294,4.88,4.84,3.03
1.54,"Good","I","SI2",57.9,62,5989,7.63,7.5,4.38
0.32,"Ideal","I","VS2",61.3,56,449,4.38,4.43,2.7
1.72,"Very Good","I","VS1",60.5,59,12451,7.72,7.76,4.68
0.46,"Very Good","E","VS1",62.9,52,1257,4.9,4.95,3.1
0.62,"Premium","E","SI2",60.7,58,1271,5.53,5.51,3.35
2.04,"Very Good","H","SI1",63,58,17952,8.03,8.1,5.08
0.38,"Premium","J","VVS2",60.5,59,778,4.72,4.69,2.84
0.39,"Very Good","E","VVS2",59.5,58,1054,4.74,4.77,2.83
0.71,"Fair","G","SI2",65.6,56,1691,5.54,5.49,3.63
0.38,"Premium","E","VS2",59.2,60,1112,4.77,4.73,2.81
1.52,"Premium","F","VS2",59.4,55,14388,7.52,7.46,4.45
1.13,"Very Good","H","SI2",62.5,62,4537,6.59,6.66,4.14
1.56,"Very Good","H","SI2",58.7,63,7583,7.73,7.55,4.49
0.3,"Ideal","F","VVS1",62.4,56,868,4.28,4.31,2.68
0.4,"Premium","F","VS1",61.1,59,1050,4.75,4.71,2.89
1.21,"Ideal","H","SI1",61.1,57,6180,6.91,6.83,4.2
1.02,"Very Good","E","IF",63.5,58,10710,6.43,6.33,4.05
0.38,"Premium","D","VS2",60.9,58,998,4.67,4.63,2.83
1.06,"Very Good","H","SI2",62.8,57,4372,6.49,6.57,4.1
0.41,"Ideal","F","VVS2",61,56,1115,4.78,4.82,2.93
0.7,"Ideal","E","SI1",60.2,58,2617,5.75,5.78,3.47
0.47,"Good","E","SI2",56.5,62,844,5.17,5.09,2.9
1.09,"Ideal","I","SI1",59.4,61,4692,6.68,6.73,3.98
0.23,"Very Good","E","VVS2",63.7,55,485,3.87,3.89,2.47
0.8,"Ideal","I","VS1",62.9,56,2760,5.94,5.87,3.72
0.41,"Ideal","E","VVS1",60.7,57,1431,4.85,4.8,2.93
1.37,"Premium","H","VS2",60.9,59,6337,7.22,7.17,4.38
0.3,"Ideal","G","IF",61,57,863,4.31,4.34,2.64
1.01,"Very Good","E","SI1",63.6,56,6132,6.3,6.37,4.03
0.91,"Ideal","J","VS1",60.7,57,3267,6.23,6.26,3.79
0.56,"Very Good","E","VS1",62,58.9,2027,5.25,5.29,3.27
0.33,"Ideal","D","SI1",62,56,567,4.44,4.47,2.76
0.7,"Very Good","I","SI2",63.5,56,1801,5.63,5.59,3.56
0.3,"Good","I","SI1",63.5,57,394,4.24,4.26,2.7
0.35,"Ideal","D","SI1",61.3,57,827,4.57,4.54,2.79
1.01,"Ideal","G","VS2",62.4,56,6108,6.41,6.37,3.99
0.29,"Very Good","E","VS1",62.4,55,555,4.2,4.25,2.63
1.04,"Ideal","F","SI1",62.1,56,4426,6.54,6.47,4.04
1.52,"Ideal","J","VS1",61.3,55,7740,7.42,7.39,4.54
0.36,"Premium","F","SI1",61.1,60,616,4.62,4.57,2.81
0.37,"Ideal","F","VVS1",59.2,57,1342,4.71,4.75,2.8
1.31,"Very Good","I","SI2",60.9,58,5652,7.03,7.07,4.29
0.41,"Premium","G","VS2",60.9,58,827,4.8,4.83,2.93
0.9,"Premium","F","SI1",62.6,60,3881,6.14,6.1,3.83
0.39,"Premium","G","VVS1",59.9,59,1170,4.75,4.73,2.84
1.22,"Ideal","G","VS2",62,57,8062,6.88,6.83,4.25
0.56,"Ideal","F","VS2",62.1,57,1723,5.28,5.29,3.28
0.9,"Very Good","F","SI2",62,61,3770,6.14,6.16,3.81
0.78,"Very Good","H","SI2",63.1,56,2348,5.84,5.88,3.7
0.33,"Ideal","E","VS2",61.3,55,928,4.48,4.46,2.74
0.57,"Very Good","G","VS2",59.9,54.6,1633,5.43,5.46,3.26
1.13,"Ideal","G","VS2",62.7,56,7016,6.65,6.61,4.16
0.9,"Premium","F","SI2",61.6,58,3457,6.23,6.15,3.81
1.65,"Very Good","H","SI2",63.4,59,8020,7.53,7.49,4.76
0.4,"Very Good","J","VS1",62.1,57,606,4.69,4.72,2.92
0.51,"Ideal","D","SI2",61.1,56,1359,5.18,5.16,3.16
1,"Very Good","F","SI1",61.4,60,4504,6.35,6.38,3.91
0.39,"Very Good","I","VVS2",62.7,58,817,4.65,4.67,2.92
1.13,"Ideal","H","SI1",61.9,60,5911,6.63,6.65,4.11
1.2,"Very Good","I","SI1",61.7,56,4785,6.82,6.76,4.19
0.36,"Premium","G","IF",62.5,60,1148,4.53,4.49,2.82
1,"Good","G","VVS1",63.8,60,7134,6.35,6.31,4.04
1.33,"Ideal","H","VS1",59.3,57,8558,7.18,7.22,4.27
0.37,"Ideal","G","IF",61.2,56,1056,4.65,4.67,2.85
0.41,"Very Good","G","VVS2",59.1,60,889,4.84,4.87,2.87
1.5,"Premium","D","SI2",58.7,57,9173,7.48,7.42,4.37
0.31,"Good","I","SI1",64.3,55,488,4.29,4.27,2.75
0.78,"Very Good","H","SI1",63.1,58,2600,5.85,5.88,3.7
0.51,"Very Good","G","VVS1",62.9,57,1800,5.08,5.12,3.21
0.53,"Ideal","D","VVS2",62.2,56,2563,5.18,5.21,3.23
1.02,"Very Good","F","IF",62.5,58,10967,6.39,6.54,4.04
1,"Good","H","SI1",57.9,54,4469,6.68,6.62,3.85
2,"Premium","G","SI2",60.4,61,17136,8.21,8.12,4.93
0.56,"Ideal","J","SI1",61.8,58,1119,5.27,5.31,3.27
0.59,"Ideal","G","VS2",62.1,57,1774,5.36,5.39,3.34
0.78,"Premium","E","VS2",62.6,57,2970,5.91,5.85,3.68
0.88,"Ideal","D","SI2",62.2,56,3962,6.12,6.16,3.82
1.11,"Ideal","E","VS2",61,57,9625,6.65,6.7,4.08
0.57,"Ideal","H","SI1",61.8,57,1397,5.32,5.36,3.3
0.56,"Very Good","E","VS2",61.4,61,1819,5.28,5.31,3.25
1.16,"Ideal","G","VS2",61.7,57,7243,6.8,6.72,4.17
0.37,"Ideal","G","VS2",60.8,57,649,4.61,4.66,2.82
1.01,"Premium","I","SI1",61.8,58,4072,6.45,6.37,3.96
0.3,"Ideal","H","IF",61.3,58,764,4.3,4.31,2.64
0.57,"Very Good","G","VS2",62.8,57,1608,5.23,5.28,3.3
0.4,"Fair","G","VS2",64.6,55,722,4.62,4.64,2.99
1.01,"Very Good","G","SI1",63.3,57,4185,6.37,6.35,4.02
0.31,"Very Good","E","VVS2",61.4,60,816,4.34,4.36,2.67
1.5,"Very Good","F","VS1",61.9,58,15508,7.34,7.4,4.56
0.71,"Ideal","I","VS2",62,54,2272,5.73,5.77,3.56
0.3,"Ideal","G","IF",61.3,55,863,4.33,4.35,2.66
0.43,"Premium","F","VVS2",61.6,60,1169,4.82,4.86,2.98
0.71,"Good","D","SI1",64.1,56,2547,5.63,5.6,3.6
1,"Very Good","D","SI2",64.7,57,4541,6.29,6.36,4.09
0.32,"Ideal","I","VVS1",61.9,55,589,4.39,4.4,2.72
0.33,"Ideal","G","VVS2",61.3,56,730,4.46,4.48,2.74
0.91,"Very Good","F","SI1",62.2,57,4108,6.19,6.25,3.87
1,"Premium","F","SI1",62.7,59,5197,6.36,6.4,4
2.01,"Good","E","SI1",63.8,55,15093,8,7.96,5.09
0.31,"Good","E","SI1",63.5,57,544,4.28,4.32,2.73
2.01,"Good","I","SI1",59.4,63,14597,8.18,8.26,4.88
1.57,"Premium","I","VS2",62.2,59,9478,7.44,7.42,4.62
0.4,"Very Good","G","SI1",61.9,55,682,4.71,4.75,2.93
0.4,"Ideal","G","SI2",61.8,56,654,4.75,4.77,2.94
0.33,"Ideal","D","VVS2",60.9,57,955,4.46,4.48,2.72
0.3,"Ideal","F","IF",62.2,56,886,4.31,4.34,2.69
0.32,"Premium","D","SI1",62.3,55,756,4.42,4.38,2.74
0.41,"Premium","G","VS2",61.5,58,827,4.8,4.82,2.96
0.34,"Ideal","E","VVS1",62.3,56,1014,4.45,4.48,2.78
2.12,"Premium","I","SI2",60.6,59,15235,8.3,8.27,5.02
1.23,"Very Good","F","VS1",60.8,58,10276,6.9,6.94,4.21
0.32,"Ideal","E","VS1",61,57,898,4.4,4.42,2.69
2.02,"Premium","I","VS1",61.2,59,17153,8.13,8.05,4.95
0.4,"Ideal","G","SI1",62.3,54,741,4.74,4.77,2.96
0.85,"Ideal","I","SI1",61.4,56,3392,6.06,6.12,3.74
0.3,"Premium","E","VS1",61.3,59,911,4.33,4.28,2.64
0.36,"Good","D","SI1",63.4,57,663,4.55,4.57,2.89
1.24,"Ideal","I","SI2",61.9,57,5221,6.87,6.92,4.27
1.01,"Very Good","H","SI1",63.1,59,4705,6.34,6.43,4.03
1.3,"Premium","H","VS2",62.4,58,7536,6.92,6.95,4.33
0.41,"Good","J","IF",63.6,54,1061,4.75,4.72,3.01
0.64,"Premium","F","SI1",60.1,60,1901,5.62,5.57,3.36
1.56,"Premium","H","SI1",61.9,59,10990,7.46,7.4,4.6
0.32,"Premium","H","SI1",61.9,59,576,4.41,4.38,2.72
0.56,"Ideal","D","VS1",61.6,57,2369,5.33,5.29,3.27
0.38,"Ideal","G","VVS2",62.2,54.3,929,4.63,4.66,2.89
0.7,"Very Good","G","SI1",62.8,58,2209,5.64,5.69,3.56
1.04,"Ideal","I","SI1",61.9,54,4941,6.51,6.57,4.05
0.3,"Ideal","H","SI1",62.1,55,450,4.3,4.33,2.68
0.52,"Very Good","G","VS1",61.2,57,1420,5.17,5.23,3.18
0.36,"Good","F","VS1",63.9,54,905,4.52,4.5,2.88
0.9,"Very Good","G","SI2",62.6,60,3593,6.1,6.16,3.84
1,"Ideal","H","SI1",60.3,56,4788,6.54,6.52,3.94
0.52,"Very Good","G","VVS1",60.9,56,1913,5.18,5.24,3.17
0.31,"Premium","H","VVS2",61.9,58,802,4.36,4.33,2.69
0.9,"Good","G","SI2",62.7,59,3489,6.04,6.12,3.81
1.01,"Premium","J","SI2",61.7,58,3499,6.4,6.44,3.96
1.51,"Premium","G","VS2",62,57,12571,7.38,7.33,4.56
1.55,"Premium","H","SI1",60.7,58,9763,7.5,7.46,4.54
0.43,"Good","E","SI2",63.6,55,858,4.83,4.8,3.06
0.31,"Ideal","E","VS2",62.4,54,680,4.31,4.35,2.7
1.7,"Good","F","VS2",62.2,56,17597,7.54,7.6,4.71
0.92,"Very Good","J","SI2",58.7,61,2880,6.34,6.43,3.75
