EMP_Id,Gender,Age_at_recruitment,Education_Level,Marital_Status_at_recruitment,Have_Children_at_recruitment,Work_Location,Office_Distance,Prior_Experience,No_of_Previous Employers,Interview result,Final test results, Initial Salary ,Direct_Indirect,Department,Religion,Meal Apply,JOB Grade,Last/Current Salary,Age,Marital_Status,Have_Children,Leaving Reason, Service Months ,Status_2021
1714218,M,19,O/L,SINGLE,NO CHILDEREN,KGL,4,0,0,5,2,28000,INDIRECT,WAREHOUSE,BUDDHISM,YES,A,31000,20,SINGLE,NO CHILDEREN, -   ,13,Active
1714233,F,20,O/L,MARRIED,NO CHILDEREN,KGL,2,0,0,5,2,28000,INDIRECT,FINISHING,BUDDHISM,YES,A+,32500,21,MARRIED,NO CHILDEREN, -   ,13,Active
1714363,F,27,O/L,SINGLE,NO CHILDEREN,KGL,1,6,2,1,1,30300,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,A+,34800,28,SINGLE,NO CHILDEREN, -   ,12,Active
1714371,F,27,O/L,MARRIED,HAVE CHILDREN,KGL,3,6,2,1,1,30300,DIRECT,PRODUCTION,BUDDHISM,YES,A+,34800,28,MARRIED,HAVE CHILDREN, -   ,12,Active
1714380,F,31,O/L,MARRIED,HAVE CHILDREN,KGL,2,10,3,1,1,30500,DIRECT,PRODUCTION,BUDDHISM,YES,A,33500,32,MARRIED,HAVE CHILDREN, -   ,11,Active
1714450,F,31,Secondary,MARRIED,HAVE CHILDREN,KGL,4,10,3,4,5,21200,DIRECT,PRODUCTION,HINDUISM,YES,C,22700,32,MARRIED,HAVE CHILDREN, -   ,11,Active
1714459,F,25,Secondary,MARRIED,HAVE CHILDREN,KGL,2,4,1,4,5,20900,DIRECT,PRODUCTION,BUDDHISM,YES,C,22400,26,MARRIED,HAVE CHILDREN, -   ,11,Active
1714468,F,35,Secondary,MARRIED,HAVE CHILDREN,KGL,1,14,4,5,4,24200,DIRECT,PRODUCTION,BUDDHISM,YES,C,25700,36,MARRIED,HAVE CHILDREN, -   ,11,Active
1714480,F,33,A/L,MARRIED,HAVE CHILDREN,KGL,1,12,3,2,1,30500,DIRECT,PRODUCTION,BUDDHISM,YES,A,33500,34,MARRIED,HAVE CHILDREN, -   ,10,Active
1714548,F,34,A/L,MARRIED,HAVE CHILDREN,KGL,3,13,4,3,3,26400,DIRECT,PRODUCTION,BUDDHISM,YES,B,28400,35,MARRIED,HAVE CHILDREN, -   ,10,Active
1714650,F,35,Secondary,MARRIED,HAVE CHILDREN,KGL,4,14,4,5,4,24200,INDIRECT,CUTTING,BUDDHISM,YES,C,25700,36,MARRIED,HAVE CHILDREN, -   ,8,Active
1714713,F,19,O/L,SINGLE,NO CHILDEREN,KGL,2,0,0,5,3,25500,INDIRECT,WAREHOUSE,BUDDHISM,YES,B,27500,20,SINGLE,NO CHILDEREN, -   ,7,Active
1714736,F,38,O/L,MARRIED,HAVE CHILDREN,KGL,1,17,5,3,3,26600,INDIRECT,CUTTING,BUDDHISM,YES,B,28600,39,MARRIED,HAVE CHILDREN, -   ,7,Active
1714749,M,19,O/L,SINGLE,NO CHILDEREN,KGL,3,0,0,5,2,28000,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,A,30000,19,SINGLE,NO CHILDEREN, -   ,6,Active
1715083,F,21,A/L,SINGLE,NO CHILDEREN,KGL,2,0,0,5,5,20500,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,D,20500,21,SINGLE,NO CHILDEREN, -   ,1,Active
1715118,M,21,A/L,SINGLE,NO CHILDEREN,KGL,4,2,1,4,5,20800,INDIRECT,WAREHOUSE,BUDDHISM,YES,D,20800,21,SINGLE,NO CHILDEREN, -   ,1,Active
1715121,M,21,A/L,SINGLE,NO CHILDEREN,KGL,2,0,0,5,5,20500,INDIRECT,WAREHOUSE,BUDDHISM,YES,D,20500,21,SINGLE,NO CHILDEREN, -   ,1,Active
1715123,M,18,O/L,SINGLE,NO CHILDEREN,KGL,1,0,0,5,5,20500,INDIRECT,WAREHOUSE,BUDDHISM,YES,D,20500,18,SINGLE,NO CHILDEREN, -   ,1,Active
1715127,F,23,A/L,SINGLE,NO CHILDEREN,KGL,1,2,1,3,3,25850,DIRECT,PRODUCTION,BUDDHISM,YES,B,26850,23,SINGLE,NO CHILDEREN, -   ,1,Active
1715137,F,25,Secondary,MARRIED,HAVE CHILDREN,KGL,3,0,0,4,5,20500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,20500,25,MARRIED,HAVE CHILDREN, -   ,1,Active
1715142,F,36,O/L,MARRIED,HAVE CHILDREN,KGL,4,15,4,2,1,30650,DIRECT,PRODUCTION,BUDDHISM,YES,A,32650,36,MARRIED,HAVE CHILDREN, -   ,1,Active
1715143,F,25,Secondary,SINGLE,NO CHILDEREN,KGL,2,0,0,4,5,20500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,20500,25,SINGLE,NO CHILDEREN, -   ,1,Active
1912953,F,21,O/L,MARRIED,NO CHILDEREN,TLD,1,0,0,5,2,24500,DIRECT,PRODUCTION,BUDDHISM,YES,A,32500,24,MARRIED,NO CHILDEREN, -   ,37,Active
1912972,F,36,A/L,MARRIED,HAVE CHILDREN,TLD,3,15,4,1,1,26750,INDIRECT,FINISHING,BUDDHISM,YES,A+,36250,39,MARRIED,HAVE CHILDREN, -   ,37,Active
1913046,F,34,O/L,MARRIED,HAVE CHILDREN,TLD,2,13,4,2,1,26550,DIRECT,PRODUCTION,BUDDHISM,YES,A,34550,37,MARRIED,HAVE CHILDREN, -   ,36,Active
1913372,M,21,Secondary,SINGLE,NO CHILDEREN,TLD,4,3,1,4,5,17850,DIRECT,PRODUCTION,BUDDHISM,YES,C,22350,23,SINGLE,NO CHILDEREN, -   ,29,Active
1913374,M,23,O/L,SINGLE,NO CHILDEREN,TLD,2,5,2,2,1,28150,INDIRECT,BONDING,BUDDHISM,YES,A,34150,25,SINGLE,NO CHILDEREN, -   ,29,Active
1913570,F,24,O/L,MARRIED,HAVE CHILDREN,TLD,1,3,1,3,3,24900,DIRECT,PRODUCTION,HINDUISM,YES,B,29900,26,MARRIED,HAVE CHILDREN, -   ,26,Active
1913832,F,33,O/L,MARRIED,HAVE CHILDREN,TLD,1,12,3,3,3,25350,DIRECT,PRODUCTION,BUDDHISM,YES,B,30350,35,MARRIED,HAVE CHILDREN, -   ,22,Active
1914275,F,17,Secondary,SINGLE,NO CHILDEREN,TLD,3,0,0,5,3,25500,DIRECT,PRODUCTION,BUDDHISM,YES,B,27500,18,SINGLE,NO CHILDEREN, -   ,14,Active
1914329,F,25,A/L,SINGLE,NO CHILDEREN,TLD,4,4,1,1,1,30200,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,A+,34700,26,SINGLE,NO CHILDEREN, -   ,13,Active
1914331,F,20,A/L,SINGLE,NO CHILDEREN,TLD,2,0,0,5,2,28000,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,A+,32500,21,SINGLE,NO CHILDEREN, -   ,13,Active
1914492,F,23,O/L,MARRIED,HAVE CHILDREN,TLD,1,2,1,5,2,28100,INDIRECT,BONDING,BUDDHISM,YES,A+,32600,24,MARRIED,HAVE CHILDREN, -   ,12,Active
1914656,F,20,O/L,MARRIED,NO CHILDEREN,TLD,3,0,0,5,3,25500,DIRECT,PRODUCTION,BUDDHISM,YES,B,27500,21,MARRIED,NO CHILDEREN, -   ,8,Active
1914662,F,27,Secondary,MARRIED,HAVE CHILDREN,TLD,2,6,2,2,4,24200,DIRECT,PRODUCTION,BUDDHISM,YES,D,25200,28,MARRIED,HAVE CHILDREN, -   ,8,Active
1914743,F,20,A/L,SINGLE,NO CHILDEREN,TLD,4,0,0,5,3,25500,INDIRECT,PRODUCTION,HINDUISM,YES,B,26500,20,SINGLE,NO CHILDEREN, -   ,6,Active
1914775,F,21,Secondary,SINGLE,NO CHILDEREN,TLD,2,0,0,5,4,23500,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,C,24000,21,SINGLE,NO CHILDEREN, -   ,5,Active
1914780,F,20,A/L,SINGLE,NO CHILDEREN,TLD,1,0,0,5,4,23500,DIRECT,PRODUCTION,BUDDHISM,YES,C,24000,20,SINGLE,NO CHILDEREN, -   ,5,Active
1914817,F,18,Secondary,SINGLE,NO CHILDEREN,TLD,1,0,0,5,4,23500,INDIRECT,FABRIC INSPECTION,BUDDHISM,YES,C,24000,18,SINGLE,NO CHILDEREN, -   ,5,Active
1914835,F,20,O/L,SINGLE,NO CHILDEREN,TLD,3,0,0,5,4,23500,DIRECT,PRODUCTION,BUDDHISM,YES,C,24000,20,SINGLE,NO CHILDEREN, -   ,4,Active
1914868,F,25,Secondary,SINGLE,NO CHILDEREN,TLD,4,4,1,4,5,20900,INDIRECT,FINISHING,BUDDHISM,YES,C,21400,25,SINGLE,NO CHILDEREN, -   ,4,Active
1914984,M,20,A/L,SINGLE,NO CHILDEREN,TLD,2,0,0,5,5,20500,INDIRECT,CUTTING,BUDDHISM,YES,D,20500,20,SINGLE,NO CHILDEREN, -   ,2,Active
1915058,F,37,Secondary,MARRIED,HAVE CHILDREN,TLD,1,16,4,2,4,24700,INDIRECT,FINISHING,BUDDHISM,YES,D,24700,37,MARRIED,HAVE CHILDREN, -   ,1,Active
1915065,F,20,A/L,SINGLE,NO CHILDEREN,TLD,3,0,0,5,3,25500,DIRECT,PRODUCTION,HINDUISM,YES,B,26500,20,SINGLE,NO CHILDEREN, -   ,1,Active
1915079,F,20,A/L,SINGLE,NO CHILDEREN,TLD,2,0,0,5,5,20500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,20500,20,SINGLE,NO CHILDEREN, -   ,1,Active
219579,F,23,O/L,SINGLE,NO CHILDEREN,TAL,4,2,1,4,3,22800,DIRECT,PRODUCTION,BUDDHISM,YES,A+,32300,26,SINGLE,NO CHILDEREN, -   ,43,Active
219590,F,39,A/L,MARRIED,HAVE CHILDREN,TAL,2,18,5,1,2,25900,DIRECT,PRODUCTION,BUDDHISM,YES,C,32400,42,MARRIED,HAVE CHILDREN, -   ,42,Active
219657,M,22,O/L,SINGLE,NO CHILDEREN,TAL,1,4,2,1,1,26200,INDIRECT,FINISHING,BUDDHISM,YES,A+,35700,25,SINGLE,NO CHILDEREN, -   ,39,Active
219663,M,26,O/L,MARRIED,HAVE CHILDREN,TAL,1,4,2,1,1,26200,INDIRECT,FINISHING,BUDDHISM,YES,A+,35700,29,MARRIED,HAVE CHILDREN, -   ,39,Active
219673,F,30,O/L,MARRIED,HAVE CHILDREN,TAL,3,9,3,1,1,26450,DIRECT,PRODUCTION,BUDDHISM,YES,A+,35950,33,MARRIED,HAVE CHILDREN, -   ,39,Active
219779,F,30,A/L,MARRIED,HAVE CHILDREN,TAL,4,9,3,1,1,26450,DIRECT,PRODUCTION,BUDDHISM,YES,A+,35950,33,MARRIED,HAVE CHILDREN, -   ,37,Active
219813,F,28,A/L,MARRIED,HAVE CHILDREN,TAL,2,7,2,1,1,26350,DIRECT,PRODUCTION,BUDDHISM,YES,A+,35850,31,MARRIED,HAVE CHILDREN, -   ,35,Active
219849,F,36,O/L,MARRIED,HAVE CHILDREN,TAL,1,15,4,3,3,23500,DIRECT,PRODUCTION,BUDDHISM,YES,B,30500,39,MARRIED,HAVE CHILDREN, -   ,34,Active
219853,F,17,Secondary,SINGLE,NO CHILDEREN,TAL,3,0,0,5,2,24500,DIRECT,PRODUCTION,BUDDHISM,YES,A,32500,20,SINGLE,NO CHILDEREN, -   ,34,Active
219860,F,25,A/L,MARRIED,HAVE CHILDREN,TAL,2,4,1,1,1,26200,INDIRECT,CUTTING,BUDDHISM,YES,A+,35700,28,MARRIED,HAVE CHILDREN, -   ,34,Active
219872,F,38,A/L,MARRIED,HAVE CHILDREN,TAL,4,17,5,1,2,25850,INDIRECT,PRODUCT DEV,BUDDHISM,YES,C,32350,41,MARRIED,HAVE CHILDREN, -   ,33,Active
219892,M,21,A/L,SINGLE,NO CHILDEREN,TAL,2,3,1,4,3,22850,INDIRECT,FABRIC INSPECTION,BUDDHISM,YES,A+,32350,24,SINGLE,NO CHILDEREN, -   ,33,Active
219897,F,24,A/L,MARRIED,HAVE CHILDREN,TAL,1,3,1,3,3,22900,DIRECT,PRODUCTION,BUDDHISM,YES,B,29900,27,MARRIED,HAVE CHILDREN, -   ,33,Active
219932,M,23,A/L,SINGLE,NO CHILDEREN,TAL,1,5,2,1,1,26250,INDIRECT,FABRIC INSPECTION,BUDDHISM,YES,A+,35750,26,SINGLE,NO CHILDEREN, -   ,33,Active
219992,M,28,A/L,SINGLE,NO CHILDEREN,TAL,3,3,1,2,1,26050,DIRECT,PRODUCTION,BUDDHISM,YES,A+,35550,31,SINGLE,NO CHILDEREN, -   ,32,Active
220045,F,19,O/L,SINGLE,NO CHILDEREN,TAL,4,0,0,5,4,22500,DIRECT,PRODUCTION,BUDDHISM,YES,C,27000,21,SINGLE,NO CHILDEREN, -   ,31,Active
220158,F,25,Secondary,SINGLE,NO CHILDEREN,TAL,2,4,1,4,5,17900,DIRECT,PRODUCTION,BUDDHISM,YES,C,22400,27,SINGLE,NO CHILDEREN, -   ,29,Active
220159,F,28,Secondary,SINGLE,NO CHILDEREN,TAL,4,7,2,2,3,25250,DIRECT,PRODUCTION,BUDDHISM,YES,C,29750,30,SINGLE,NO CHILDEREN, -   ,29,Active
220200,F,22,A/L,MARRIED,HAVE CHILDREN,TAL,2,1,1,2,1,27950,DIRECT,PRODUCTION,BUDDHISM,YES,A,33950,24,MARRIED,HAVE CHILDREN, -   ,29,Active
220213,F,37,O/L,MARRIED,HAVE CHILDREN,TAL,1,16,4,3,3,25550,INDIRECT,EMBROIDERY,BUDDHISM,YES,B,30550,39,MARRIED,HAVE CHILDREN, -   ,29,Active
220328,F,29,A/L,MARRIED,HAVE CHILDREN,TAL,3,8,2,1,2,27400,DIRECT,PRODUCTION,BUDDHISM,YES,C,31900,31,MARRIED,HAVE CHILDREN, -   ,27,Active
220366,F,21,O/L,SINGLE,NO CHILDEREN,TAL,2,0,0,5,2,26500,DIRECT,PRODUCTION,ISLAM,YES,A+,34000,23,SINGLE,NO CHILDEREN, -   ,26,Active
220539,F,36,Secondary,MARRIED,HAVE CHILDREN,TAL,4,15,4,3,4,23500,DIRECT,PRODUCTION,BUDDHISM,YES,C,28000,38,MARRIED,HAVE CHILDREN, -   ,24,Active
220570,F,27,Secondary,MARRIED,HAVE CHILDREN,TAL,2,6,2,3,5,18050,DIRECT,PRODUCTION,ISLAM,YES,C,22550,29,MARRIED,HAVE CHILDREN, -   ,24,Active
220610,F,25,O/L,MARRIED,HAVE CHILDREN,TAL,1,4,1,1,1,28200,DIRECT,PRODUCTION,BUDDHISM,YES,A+,35700,27,MARRIED,HAVE CHILDREN, -   ,24,Active
220779,F,27,Secondary,MARRIED,HAVE CHILDREN,TAL,3,6,2,3,4,23050,DIRECT,PRODUCTION,BUDDHISM,YES,C,27550,29,MARRIED,HAVE CHILDREN, -   ,22,Active
220878,F,22,O/L,SINGLE,NO CHILDEREN,TAL,2,0,0,5,2,26500,DIRECT,PRODUCTION,HINDUISM,YES,A,32500,24,SINGLE,NO CHILDEREN, -   ,21,Active
220966,F,33,O/L,MARRIED,HAVE CHILDREN,TAL,4,12,3,1,1,28600,DIRECT,PRODUCTION,BUDDHISM,YES,A+,36100,35,MARRIED,HAVE CHILDREN, -   ,19,Active
220981,F,20,A/L,SINGLE,NO CHILDEREN,TAL,2,0,0,5,4,22500,DIRECT,PRODUCTION,BUDDHISM,YES,C,27000,22,SINGLE,NO CHILDEREN, -   ,19,Active
221357,F,31,A/L,MARRIED,HAVE CHILDREN,TAL,1,10,3,1,1,30500,INDIRECT,CUTTING,BUDDHISM,YES,A+,35000,32,MARRIED,HAVE CHILDREN, -   ,14,Active
221371,F,35,O/L,MARRIED,HAVE CHILDREN,TAL,4,14,4,1,2,29200,DIRECT,PRODUCTION,BUDDHISM,YES,C,30700,36,MARRIED,HAVE CHILDREN, -   ,14,Active
221389,F,24,Secondary,MARRIED,HAVE CHILDREN,TAL,2,3,1,4,5,20850,DIRECT,PRODUCTION,BUDDHISM,YES,C,22350,25,MARRIED,HAVE CHILDREN, -   ,14,Active
221397,F,23,A/L,SINGLE,NO CHILDEREN,TAL,1,2,1,3,3,25850,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,B,27850,24,SINGLE,NO CHILDEREN, -   ,14,Active
221481,M,19,O/L,SINGLE,NO CHILDEREN,TAL,3,0,0,5,2,28000,INDIRECT,EMBELLISHMENT,BUDDHISM,YES,A+,32500,20,SINGLE,NO CHILDEREN, -   ,13,Active
221563,F,31,O/L,MARRIED,HAVE CHILDREN,TAL,2,10,3,1,2,29000,DIRECT,PRODUCTION,BUDDHISM,YES,C,30500,32,MARRIED,HAVE CHILDREN, -   ,12,Active
221598,F,18,O/L,SINGLE,NO CHILDEREN,TAL,4,0,0,5,2,28000,DIRECT,PRODUCTION,BUDDHISM,YES,A+,32500,19,SINGLE,NO CHILDEREN, -   ,12,Active
221640,F,18,O/L,SINGLE,NO CHILDEREN,TAL,2,0,0,5,4,23500,DIRECT,PRODUCTION,BUDDHISM,YES,C,25000,19,SINGLE,NO CHILDEREN, -   ,12,Active
221645,M,30,A/L,MARRIED,HAVE CHILDREN,TAL,1,1,1,4,2,28250,INDIRECT,EMBROIDERY,BUDDHISM,YES,A+,32750,31,MARRIED,HAVE CHILDREN, -   ,11,Active
221724,F,36,A/L,MARRIED,HAVE CHILDREN,TAL,1,15,4,2,1,30650,INDIRECT,EMBROIDERY,BUDDHISM,YES,A,33650,37,MARRIED,HAVE CHILDREN, -   ,11,Active
221725,F,35,Secondary,MARRIED,HAVE CHILDREN,TAL,3,14,4,1,4,24700,INDIRECT,EMBROIDERY,BUDDHISM,YES,D,25700,36,MARRIED,HAVE CHILDREN, -   ,11,Active
221746,F,21,A/L,SINGLE,NO CHILDEREN,TAL,4,0,0,5,4,23500,DIRECT,PRODUCTION,HINDUISM,YES,C,25000,22,SINGLE,NO CHILDEREN, -   ,10,Active
221791,F,18,Secondary,SINGLE,NO CHILDEREN,TAL,2,0,0,5,4,23500,DIRECT,PRODUCTION,BUDDHISM,YES,C,25000,19,SINGLE,NO CHILDEREN, -   ,10,Active
221817,F,20,O/L,MARRIED,NO CHILDEREN,TAL,1,0,0,5,4,23500,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,C,25000,21,MARRIED,NO CHILDEREN, -   ,10,Active
221908,F,36,O/L,MARRIED,HAVE CHILDREN,TAL,3,15,4,2,1,30650,DIRECT,PRODUCTION,BUDDHISM,YES,A,33650,37,MARRIED,HAVE CHILDREN, -   ,9,Active
221926,F,20,O/L,SINGLE,NO CHILDEREN,TAL,4,0,0,5,4,23500,DIRECT,PRODUCTION,BUDDHISM,YES,C,25000,21,SINGLE,NO CHILDEREN, -   ,8,Active
221933,M,22,A/L,SINGLE,NO CHILDEREN,TAL,2,3,1,4,5,20850,INDIRECT,WAREHOUSE,BUDDHISM,YES,C,22350,23,SINGLE,NO CHILDEREN, -   ,8,Active
221947,M,23,A/L,SINGLE,NO CHILDEREN,TAL,1,5,2,3,3,26000,INDIRECT,FABRIC INSPECTION,BUDDHISM,YES,B,28000,24,SINGLE,NO CHILDEREN, -   ,8,Active
221995,F,29,O/L,MARRIED,HAVE CHILDREN,TAL,3,8,2,1,1,30400,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,A,33400,30,MARRIED,HAVE CHILDREN, -   ,8,Active
222057,F,21,Secondary,MARRIED,NO CHILDEREN,TAL,2,0,0,5,5,20500,DIRECT,PRODUCTION,BUDDHISM,YES,D,21500,22,MARRIED,NO CHILDEREN, -   ,7,Active
222093,F,23,Secondary,SINGLE,NO CHILDEREN,TAL,4,0,0,5,5,20500,INDIRECT,EMBROIDERY,BUDDHISM,YES,D,21500,24,SINGLE,NO CHILDEREN, -   ,7,Active
222108,M,20,A/L,SINGLE,NO CHILDEREN,TAL,2,2,1,3,3,25850,INDIRECT,FABRIC INSPECTION,BUDDHISM,YES,B,26850,20,SINGLE,NO CHILDEREN, -   ,6,Active
222165,F,21,A/L,SINGLE,NO CHILDEREN,TAL,1,0,0,5,3,25500,INDIRECT,FABRIC INSPECTION,BUDDHISM,YES,B,26500,21,SINGLE,NO CHILDEREN, -   ,5,Active
222204,M,34,Secondary,MARRIED,HAVE CHILDREN,TAL,1,13,5,1,4,24650,DIRECT,PRODUCTION,BUDDHISM,YES,D,24650,34,MARRIED,HAVE CHILDREN, -   ,5,Active
222390,M,19,Secondary,SINGLE,NO CHILDEREN,TAL,3,0,0,5,5,20500,INDIRECT,CUTTING,BUDDHISM,YES,D,20500,19,SINGLE,NO CHILDEREN, -   ,3,Active
222391,M,18,O/L,SINGLE,NO CHILDEREN,TAL,4,0,0,5,5,20500,INDIRECT,CUTTING,BUDDHISM,YES,D,20500,18,SINGLE,NO CHILDEREN, -   ,3,Active
222392,F,19,O/L,SINGLE,NO CHILDEREN,TAL,2,0,0,5,5,20500,DIRECT,PRODUCTION,BUDDHISM,YES,D,20500,19,SINGLE,NO CHILDEREN, -   ,3,Active
222396,M,21,Secondary,SINGLE,NO CHILDEREN,TAL,1,2,1,4,5,20800,INDIRECT,CUTTING,BUDDHISM,YES,D,20800,21,SINGLE,NO CHILDEREN, -   ,3,Active
222444,F,22,O/L,SINGLE,NO CHILDEREN,TAL,3,0,0,5,2,28000,DIRECT,PRODUCTION,BUDDHISM,YES,A,30000,22,SINGLE,NO CHILDEREN, -   ,2,Active
222459,M,20,O/L,SINGLE,NO CHILDEREN,TAL,4,0,0,5,5,20500,INDIRECT,FABRIC INSPECTION,BUDDHISM,YES,D,20500,20,SINGLE,NO CHILDEREN, -   ,2,Active
222463,F,31,O/L,MARRIED,HAVE CHILDREN,TAL,2,10,3,1,1,30500,DIRECT,PRODUCTION,BUDDHISM,YES,A,32500,31,MARRIED,HAVE CHILDREN, -   ,2,Active
222470,M,22,Secondary,SINGLE,NO CHILDEREN,TAL,1,1,1,5,5,20550,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,D,20550,22,SINGLE,NO CHILDEREN, -   ,2,Active
222494,F,22,Secondary,MARRIED,HAVE CHILDREN,TAL,3,1,1,5,4,23550,DIRECT,PRODUCTION,BUDDHISM,YES,C,24050,22,MARRIED,HAVE CHILDREN, -   ,2,Active
222496,F,38,O/L,MARRIED,HAVE CHILDREN,TAL,2,17,5,3,3,26600,DIRECT,PRODUCTION,BUDDHISM,YES,B,27600,38,MARRIED,HAVE CHILDREN, -   ,2,Active
222508,F,20,O/L,SINGLE,NO CHILDEREN,TAL,4,0,0,5,5,20500,INDIRECT,FINISHING,BUDDHISM,YES,D,20500,20,SINGLE,NO CHILDEREN, -   ,2,Active
222516,M,19,O/L,SINGLE,NO CHILDEREN,TAL,4,0,0,5,5,20500,INDIRECT,EMBROIDERY,BUDDHISM,YES,D,20500,19,SINGLE,NO CHILDEREN, -   ,1,Active
222553,M,19,O/L,SINGLE,NO CHILDEREN,TAL,2,0,0,5,5,20500,INDIRECT,CUTTING,BUDDHISM,YES,D,20500,19,SINGLE,NO CHILDEREN, -   ,1,Active
222560,F,38,Secondary,SINGLE,NO CHILDEREN,TAL,1,17,5,2,3,26750,DIRECT,PRODUCTION,ISLAM,YES,C,27250,38,SINGLE,NO CHILDEREN, -   ,1,Active
222563,M,22,Secondary,MARRIED,NO CHILDEREN,TAL,3,4,2,4,5,20900,INDIRECT,EMBELLISHMENT,BUDDHISM,YES,D,20900,22,MARRIED,NO CHILDEREN, -   ,1,Active
222592,F,20,O/L,SINGLE,NO CHILDEREN,TAL,2,0,0,5,5,20500,INDIRECT,FINISHING,BUDDHISM,YES,D,20500,20,SINGLE,NO CHILDEREN, -   ,1,Active
222601,F,18,O/L,SINGLE,NO CHILDEREN,TAL,4,0,0,5,4,23500,DIRECT,PRODUCTION,BUDDHISM,YES,C,24000,18,SINGLE,NO CHILDEREN, -   ,1,Active
411724,F,30,O/L,MARRIED,HAVE CHILDREN,PAN,2,9,3,3,3,23200,DIRECT,PRODUCTION,HINDUISM,YES,B,30200,33,MARRIED,HAVE CHILDREN, -   ,43,Active
411762,F,33,O/L,MARRIED,HAVE CHILDREN,PAN,1,12,3,2,1,26500,DIRECT,PRODUCTION,BUDDHISM,YES,A,34500,36,MARRIED,HAVE CHILDREN, -   ,42,Active
411821,M,37,A/L,SINGLE,NO CHILDEREN,PAN,1,15,5,1,1,26750,DIRECT,PRODUCTION,BUDDHISM,YES,A+,36250,40,SINGLE,NO CHILDEREN, -   ,41,Active
411830,M,28,O/L,MARRIED,HAVE CHILDREN,PAN,3,6,2,3,3,23050,DIRECT,PRODUCTION,BUDDHISM,YES,B,30050,31,MARRIED,HAVE CHILDREN, -   ,40,Active
411916,M,26,A/L,MARRIED,HAVE CHILDREN,PAN,4,5,2,2,1,26150,DIRECT,PRODUCTION,HINDUISM,YES,A,34150,29,MARRIED,HAVE CHILDREN, -   ,38,Active
411919,M,30,A/L,MARRIED,HAVE CHILDREN,PAN,2,9,3,1,1,26450,DIRECT,PRODUCTION,HINDUISM,YES,A+,35950,33,MARRIED,HAVE CHILDREN, -   ,38,Active
